sentence,kmeans_cluster,x,y
shope,2,-52.375534,-14.774276
s luon,5,-11.093671,24.204386
đặt giúp,3,22.869249,-32.191204
oki,5,-61.93568,20.811859
tầm 50k,4,-0.867455,18.897488
đặt shopee,3,18.577087,-46.599716
đỡ,4,8.728192,-14.850282
chậu tắm,4,22.135149,5.608479
1m 50cm,5,-27.572554,17.503098
giới thiệu,2,-47.231438,-2.932761
điện thoại,5,-21.375851,36.449905
ui,1,10.579877,45.176144
điện thoại 0961669090,5,-24.959259,33.667633
ngựa ship 19 hương viên,5,-24.097099,27.385729
lô code 100k tiếc,4,-5.095099,6.146438
4 250 000 dat,3,1.842994,-32.81464
bao nhiêu,0,64.477547,-2.252527
bao nhiêu,0,61.692337,0.074786
đặt shopee,3,23.559002,-47.832279
gửi đồ,5,-47.957294,14.040185
tận,2,-18.885303,-31.251284
trời,2,-27.811764,-20.246834
đặt shopee,3,26.810484,-46.026424
ok gửi ảnh,5,-46.623875,19.189608
khoan đục,2,-20.690977,-0.054016
t2,3,-6.811956,-34.479603
bơm,2,-31.877775,-28.977604
xun gia,5,-9.125985,35.752354
đợi suốt,4,-4.901528,-12.261607
bảo hành,1,1.412246,67.616348
036 5392115 30 tràng tiền,4,-3.684499,1.042662
tuần nhắc đợi,3,5.846455,-24.010107
bt,5,-25.858255,21.741161
doux,4,12.250168,-11.682535
moaz bebe,4,-2.809282,3.790876
shop xịt khuẩn môi trường xung quanh bé,2,-15.443976,-1.411514
bao nhiêu,0,65.614563,3.530286
1h,1,-5.563864,47.597809
oki,5,-62.588036,20.791483
lệch bánh trg,4,4.00137,2.888414
sửa,3,18.746704,-19.923294
gọi,1,29.980125,33.597851
giới thiệu,2,-47.231514,-2.932757
bao nhiêu,0,64.007607,-6.576739
cốc topaz city block b1 192 lỗ p4 q8,4,-1.882498,-2.111407
link hàng,3,15.552637,-28.846634
huế,4,18.932289,-13.646798
oto,2,-40.129047,-15.689606
bao nhiêu,0,69.624168,-2.187253
dạ 135k là 1 kệ nào,4,-1.634466,-16.025425
tối cháu sn joi,4,-3.308596,3.042244
tặng sn cháu,2,-15.16157,-9.356737
bút ve,2,-24.244009,5.477731
toyhouse,2,-33.49374,-1.075129
hiểm,2,-23.498735,-3.256647
nghi thừa sợ,4,-13.07364,5.78415
miếng sắt,2,-26.797667,-22.82522
miếng sắt,2,-26.797689,-22.823799
vinng lắp huh,2,-5.825431,-17.336086
hóa,4,11.770113,14.689086
hiệu ikea,4,25.17445,-9.950305
bàn sần sùi phẳng,4,7.514027,-0.795763
https //scontent fhan5-3 fna fbcdn net/v/t1 0-9/fr/cp0/e15/q65/83326001_2378388132471511_7662799818791583744_n jpg _nc_cat=106 è=eyjpịibyj9 _nc_ohc=odxrgw23-cuãnltw6 _nc_ad=z-m _nc_cid=0 _nc_zỏ9 _nc_ht=scontent fhan5-3 fna oh=2012ba5cf12419c45861bba75b102b9c oe=5ed96516,4,-11.007123,-4.505319
bẩn,2,-35.422356,-4.737802
đặt,0,48.873341,26.961796
hả chụ,4,4.354451,22.238157
149g đội cấn 0973159966,4,-11.48585,3.783998
tuần lộc,3,10.026587,-23.822968
tưởng 1xx 1 xxx,2,-8.944443,-20.874121
full pko,4,21.905558,-13.086005
đọc viết hơi mông lung,4,13.391955,-5.834593
phân vân,4,-2.593099,18.728064
bao nhiêu,0,65.614563,3.530286
tầm 8h,2,-23.503212,1.852487
vây,5,-32.430588,41.95224
hả há,5,-6.463539,28.008234
chả lỗi,4,6.685804,-14.345186
ving,3,26.251261,-34.267437
tuần quê,3,5.866971,-24.05414
đặt shopee,3,23.710417,-47.130531
tường ga mực,4,-8.523235,0.419365
bấm kqua,2,-31.191763,-7.392558
bao nhiêu,0,64.007607,-6.576739
nhiệt kế doux đo trán,2,-12.608037,-9.014916
lười shôê lắm,2,-19.315523,-7.862424
bao nhiêu,0,63.611801,-3.012036
shopee hinh nhu 250k moi ho tro ship,4,-5.614169,-5.614434
cặp nhiệt độ hồng ngoại,4,-6.119324,-14.07446
bảo hành,1,-0.836879,67.778046
xác,3,0.008018,-20.48881
điện thoại 0969740990,5,-22.928659,35.420235
khẩu trang rửa khô,4,14.267492,-9.256111
thơ,2,-25.220716,-42.258747
cọ gia khuyến mại tai page rou a,4,-11.715285,-0.314748
nắp đậy hả,4,3.888513,1.972188
balo,3,35.149361,-20.207331
điện thoại 0981414129,5,-20.843983,39.317116
điện thoại 0938192703,5,-13.929831,37.579597
ngô thị trà thôn 5-nghĩa hưng chư păh gia lai 0973 120 616,4,-12.39854,-2.268947
hoạ tiết thui pko,4,12.266146,-1.752577
thú bơm sẵn bơm,2,-21.488052,-1.74559
mắc,4,11.415021,-9.07317
4 250 000,3,1.891139,-32.927547
đặt,0,47.231625,24.998753
link shopee gửi,3,7.385022,-35.294945
túi ni lông kéo khoá đựng thảm,4,-9.287168,12.114386
túi ni lông kéo khoá bảo quản,4,-2.658485,15.414589
oh mơí đọc nghỉ tết,4,3.99131,5.069175
thừa,2,-18.553101,-1.264199
40k,2,-15.518193,-22.610834
tết,4,12.924503,-14.60493
điện đi,5,-9.974407,20.758993
địu aprica koala,2,-16.291847,-24.888483
okâ thankiu nhed,4,-0.943193,5.022966
bao nhiêu,0,69.624168,-2.187253
bao nhiêu,0,61.692337,0.074786
đặt shopee đấy,3,27.275921,-50.187309
nãy,2,-33.472836,-7.701582
nghỉ tết,3,11.309874,-23.588421
tháo ss kiểu nhi,4,0.662555,-17.498083
uh tết order,4,-0.895738,-7.242709
hi,1,23.705881,59.675396
zaracos,3,17.808168,-16.500458
2 1200 1600,2,-12.339394,-24.579771
clip,2,-33.133583,-41.248653
chốt,2,-31.024105,-0.904922
2h quê,2,-21.025141,5.225121
quê,2,-35.601757,-28.495747
oki,5,-62.28289,21.395708
chiều 8-9thang,4,14.548567,11.237089
thuốc,5,-5.950891,30.736557
hươu,3,3.372277,-23.899298
ưu đãi,1,1.15669,28.973757
oh,5,-41.670376,39.36219
đặt shopee,3,22.648527,-47.338467
kịp,2,-20.916195,-25.90486
chiều 1-2h sẵn c/h c/h,2,-23.527304,1.878247
sẵn c/h,2,-29.572741,-6.151176
nối 12cm,4,23.347191,-5.62173
cửa lọt 90cm,4,-1.958581,-12.746739
đi tất niên,2,-18.427198,-14.255005
điện thoại 0372943515,5,-17.060583,37.81057
thiết,2,-7.879988,-19.386837
ốc vặn,4,19.982702,9.858992
4 mảnh,3,12.214151,-28.07317
tí chụp,3,-4.72823,-23.780237
chiều ốc vặn,4,9.312786,4.136254
huye kia,4,13.787929,6.827293
wa tết,4,12.218581,-14.491221
hih tham khảo mau kiu,4,-5.161129,0.380302
mộc châu,2,-25.851549,-13.253609
đổi bay viêttel,4,-11.838415,12.503572
chờ đi xe phát 300 thồ 100 400,4,-8.017273,6.510931
chồng rui,2,-33.459839,-10.424088
hi,1,23.227051,61.054672
15,4,14.925556,-0.295053
gọi điện thoại,5,-15.667476,39.603394
038 9904029 linh,4,-11.14986,7.290336
gỗ 68cm,5,-13.965405,16.890486
hag truoc kg,2,-24.186956,-6.165397
nua nh,4,-6.106852,-8.443726
bỉm,2,-44.603897,-2.720402
xe đẩy joei pack navy blazẻ,4,4.071098,-7.299021
gửi hình,5,-42.058784,21.910248
video hướng,4,-11.082771,2.791669
sửa,3,18.746914,-19.923283
bưu cục,2,-30.49737,-9.805472
gọi,1,29.815512,31.147034
ti giả nuk 18m chó bé,4,-5.786499,10.671225
phát suze 18-36,4,0.512026,-13.237334
kế hoạch,2,-22.380453,5.732466
anh/chị ôi,2,-17.411201,4.181003
đế miếng hít,2,-27.646242,-10.131623
laoị hôla di bé vinj,4,-8.114882,12.748176
link shopee,3,4.173155,-56.875668
guiẻ ảnh nhs,5,-30.527063,7.302734
page,2,-38.464222,-24.814594
tiện lợi,4,-1.681014,-0.493851
bế bơi,4,14.278605,-12.17861
chậu tắm,4,22.135187,5.608484
combo,3,-1.777526,-31.981306
nối 12cm,4,23.347134,-5.621791
cửa tầm 1m1 1m2,4,0.531352,21.251778
full,4,22.514029,-13.741199
tết,4,12.924503,-14.60493
thui,5,-52.016075,29.22364
quai âu àh,2,-23.037611,-5.098828
vô trách nhiệm,4,5.5355,11.840038
18 bay,2,-14.327076,-16.858944
tổng 364,4,-2.889938,8.725719
vinng,3,-8.591939,-46.655487
vinng,3,-8.591023,-46.655567
bao nhiêu,0,65.120811,-2.101487
ok đặt xong shopee,3,24.329445,-36.683826
freeship,5,-24.18932,57.196609
đặt shopee,3,23.064043,-45.807816
vụ pin,3,17.251854,-27.521801
gửi hình,5,-42.058784,21.91024
đặt tiki,3,27.140348,-30.124929
tàu hoả,5,-36.368801,11.302553
ui trời 999k hả,4,-0.748127,5.698436
bận quên,2,-16.480492,-17.967955
hix,2,-39.373291,-26.471666
vội chút,2,-30.843996,-12.470938
đoàn tàu nồi cơm,5,-21.173613,10.932564
điện thoại 0936234302,5,-15.587378,36.979725
okie nè,5,-12.848226,27.787188
link shopee,3,4.651648,-56.033455
inbox tàu hỏa,5,-35.908592,11.228285
hi,1,23.227051,61.054672
đặt shopee,3,23.417393,-49.30991
tổng 650,2,-15.292067,-4.853744
miễn tựa tường vướng đẩy,2,-23.149172,-7.710975
link shopee,3,4.651648,-56.033455
ta chụp,2,-40.420776,2.335629
tý,3,1.791137,-34.22147
đặt,0,49.883492,24.482325
chờ rep,2,-28.193336,0.799279
bao nhiêu,0,63.576385,-2.166342
đặt,0,48.930107,25.692089
đặt,0,48.145016,24.665621
điện thoại 0961553883,5,-20.41349,34.777504
tức 2 019 000đ phai shop,4,-2.478343,-7.939072
đươj chèn gỗ,5,-13.654037,16.775105
ốc hai kéo,3,6.714676,-18.888908
gọi,1,30.362204,31.828117
2h quê,2,-21.025257,5.224904
40 hai trưng,4,6.939517,-17.647181
smai mấy,4,5.272794,3.773925
= =,3,2.885837,-26.542421
đặt shopee,3,23.791197,-46.199448
tkhoan vấn đề,4,-14.231743,8.049343
nghỉ tết,3,11.309916,-23.588387
hi,1,24.542053,60.376335
đo 72,2,-16.185326,-4.602454
trưa thử đo,4,-6.287992,-9.864798
cửa đo 72cm,4,3.061894,18.674713
cancel giup,4,0.628067,14.049483
bao nhiêu,0,63.421024,-3.683204
tận,2,-18.885303,-31.251284
huhu,0,34.653423,13.075729
đặt,0,47.681011,26.178028
link gửi,3,7.211157,-30.330616
freeship,5,-24.18932,57.196609
6t liệu,5,-47.611217,19.360382
phiếu,4,15.082019,19.665009
0983674677 lâm,2,-14.199816,-20.591829
voi vẫy tai phát nhạc,3,0.00117,-23.63493
thuê grap qa,4,12.313053,-11.585449
toàn hnahf,5,-10.741098,30.960764
2m m6,4,12.87769,16.955379
link shopee,3,4.651648,-56.033455
vi dụ chẳng hạn 3 rút gọn 2,4,2.105583,-4.088005
vi chật,4,20.519379,-1.418883
hic thử xếp,4,7.72002,-17.32884
thể đổi hnagf giupd,4,-3.46818,1.264508
gửi ảnh,5,-44.576366,18.927113
coi,4,16.571402,4.250234
bao nhiêu,0,67.579529,1.262606
giới thiệu,2,-47.231468,-2.932754
saigon,5,-6.312946,24.850622
bao nhiêu,0,69.624168,-2.187253
túi nhiệt nice papa hang,4,-7.253631,7.943431
xanh navy nhe,4,-0.25956,-16.649338
màn chiếu hòa khay đựng cốc,4,-4.496993,-1.517905
điện thoại,5,-21.296862,36.806519
t2,3,-6.811948,-34.479565
đấy chế cháo,2,-21.307709,2.721882
q8,2,-22.676569,-20.473885
bao bao nhiêu,0,78.608704,-2.73843
địu 690k,1,-0.082127,63.100368
điện thoại 0948426618,5,-15.398764,34.341137
địu bục,3,-6.409798,-27.130238
đặt shopee,3,24.570038,-46.937485
mua nôi mátẻ 25 núi trúc,4,-14.142268,7.911885
màn,2,-28.80517,-36.369637
bận,2,-22.480526,-36.051365
37/409 kim mã,4,-3.184203,-12.3627
ừm chờ tí,2,-26.240685,-2.820158
rui,2,-15.269477,-34.324772
freeship,5,-24.18932,57.196609
bao nhiêu,0,64.007607,-6.576739
ad,3,26.695459,-21.423611
to à2 vinhomé gảenia hàm nghi mỹ đình,2,-14.496907,-2.923362
đặt shopee,3,23.009323,-48.340313
bảo hành,1,1.808482,68.260086
sửa sửa,3,18.74716,-19.923233
bao nhiêu,0,69.624168,-2.187253
25 hàng khay hoàn kiếm ch vân 0974475991,4,-1.202808,-5.417695
25 hàng khay hoàn kiếm ch vân 0974475991,4,-1.202977,-5.417728
oki,5,-61.93568,20.811859
combi dòng hơi nóng,2,-26.32374,-2.808556
17h30 nghỉ,2,-12.772696,-7.329285
chậu tắm babyhop,4,21.454769,5.166122
bao nhiêu,0,65.614563,3.530286
bệnh viện nhi cổng chùa láng,4,-10.352822,-1.919278
điện thoại bật máy,5,-17.142385,35.86869
đợi chút,2,-38.759499,-19.323296
đặt shopee,3,21.1681,-45.114437
skiphop diapẻ bag shop,4,5.519833,-10.752269
tiếng tàu,5,-35.475739,11.007617
đau,2,-11.980964,-27.341597
huhu,0,34.653423,13.075729
bao nhiêu,0,69.914589,-7.016513
đchi,2,-21.611528,-5.584645
bao nhiêu,0,69.624168,-2.187253
clip,2,-33.133736,-41.248619
bôh kia,4,8.963132,-0.880559
link shopee,3,3.748245,-56.045765
link shopee đi,3,7.0508,-37.787563
oki,5,-61.93568,20.811859
bảo hành,1,-1.181003,66.845703
mua biếu thgina đi lựa,4,-6.702975,-8.330207
bao bao nhiêu,0,78.608658,-2.738429
tưởng ghe bay ban báo 1090k ma,4,-6.2486,-8.2026
oh ban sale roi ma van bang gia lan truoc ban bao hieu nham,4,-8.042176,-7.865849
gọi điện,5,-15.515121,43.051929
49 gảenia mỹ đình,4,-11.095981,-3.355855
bao nhiêu,0,64.397491,-1.058607
caia vòng tròn lắp,2,-13.411616,-6.135989
thks nhieu,4,15.526271,-9.990145
bảo hành,1,0.703195,65.735985
ạh,1,-4.8036,47.219688
uo đợt rẻ,2,-13.995919,-13.178841
đặt,0,50.62112,26.898094
di,4,20.240061,2.141579
qcao 55 độ,5,-24.816359,9.18602
s oi ct,2,-28.836929,4.755641
chào,1,40.917076,47.884239
bảo hành,1,2.114551,66.818489
cai,2,-27.094448,-17.222296
đặt,0,50.379433,25.793428
chào,1,41.399433,47.26778
đặt hàng shopee,3,13.425033,-44.570713
triệu ghi 0-36m chih,4,0.12254,0.119775
đợt tết chương trình,4,11.499109,-14.46003
thiêys kế sóc,2,-7.021866,-18.894104
điện thoại 0963774362,5,-17.205566,39.305344
bao nhiêu,0,69.624168,-2.187253
phiên mấy trò cạnh,4,-3.638493,10.849733
bao nhiêu,0,61.692337,0.074786
bao nhiêu,0,61.692337,0.074786
trưa,3,18.715614,-19.964096
freeship,5,-23.736841,56.977016
đặt,0,48.930107,25.692089
hk,2,-29.16102,-27.787205
nón phia tháo lắp,4,-5.829008,-15.66669
hi,1,23.227051,61.054672
hi,1,23.227051,61.054672
hi,1,24.542053,60.376335
đặt hàng tiki,3,24.478878,-29.745655
đặt hàng shopee,3,13.424894,-44.570854
bao nhiêu,0,61.692337,0.074786
https //www facebook com/shopgauvabingo/pós/2353122761664715 __xts__ 0 =68 ẩkchkyy-bfwkốkóg3yw4xnxlzobôwg5fzv2--itytobig12x0êvben6wdóxsbpazwpweblm62vqlttn6uyhẽop89f6-l9szadvtdm5hdócizdqdppeditucxmm5myiwmzgbwsngbz-ao1qsw-7e-thsqgq_2txmxuyggfa4m0lnedezyaqxxsiocđsu9ahrgi2ehhzy_ea41l8-hsewxkg0vtpwcr9ubqffxxz-92qcỗotykxmbcwy1wfkyrrlgzshwwinăzo_-mjozhfb8glq4nãctayxyrxmárhezb4m3v_ũmscqcihba6p8jf1 __tn__=-r,2,-19.660099,-2.716363
link shopee,3,2.685374,-54.239731
gi,2,-16.072792,-20.33046
bây gioè,4,-0.517823,15.711103
8kg thất chật kéo đ,4,7.620393,-5.972879
bao nhiêu,0,69.624168,-2.187253
gọi,1,29.317213,31.588144
gửi ảnh,5,-45.507004,19.046045
điện thoại hàng 1,2,-16.945143,-11.703531
gọi,1,29.777531,32.353458
thời gian,4,24.871698,-2.676512
đệm ép,2,-21.494886,-23.715805
đấy dẹt tròn,3,10.333904,-18.549528
bthuong đệm,4,-2.521594,-19.224293
nua,3,-16.137545,-39.885391
kệ ngăn,4,-3.540977,-16.053736
vincom d capitale tòa c7 tuần hưng trung hòa cầu giấy,4,-5.450616,-3.322018
điện thoại 0904899790,5,-20.180182,30.785923
balo,3,35.149952,-20.207279
thu 0976123822,2,-25.204662,-8.316465
đắt,1,5.213786,46.340752
gửi ảnh hộ,5,-43.5755,16.958546
đăng viết,3,12.750316,-19.843697
200k,3,2.269699,-29.189562
chuyên đồ nhea,4,2.325402,9.228152
0902 06 2020,2,-14.446257,-18.519924
đấy lới lỏng cỡ đấy,3,12.504328,-19.051764
túi nhai,2,-36.422482,-22.471767
suy chiều,5,-6.799275,21.670967
đg đê quai âu đâuvâj,4,-9.55142,0.236737
7h,5,-27.554682,21.424488
bao nhiêu,0,69.624168,-2.187253
huhu,0,34.177155,13.4169
100k í,4,-5.560506,5.505484
huhu,0,34.653423,13.075729
link shopee,3,3.713147,-55.575089
hành,1,-1.429161,73.315056
điện thoại 0988427586,5,-20.653126,37.968872
tầng 23 keangnam landmả 72 e6 phạm hùng,5,-19.262026,6.928646
bảo hành,1,0.619458,67.157539
tiếc,3,30.773685,-42.455772
link gửi giúp,3,7.80098,-31.10981
đặt,0,47.659946,24.251076
điện thoại 0888551988,5,-12.876009,31.139393
da,2,-41.330597,-32.283001
điện thoại 0966718228,5,-19.257397,39.408089
151c nam kỳ khởi nghĩa ph6 quan 3,4,-5.645707,-3.256211
laya quê,2,-36.672977,-24.517635
tuần tơi,3,10.085638,-23.884501
bao nhiêu,0,68.900108,-10.379466
mầu,0,33.420959,1.481419
1016,4,9.946551,18.596775
bao nhiêu,0,61.692337,0.074786
hi,1,23.227051,61.054672
địu comfy,4,3.167125,-13.97619
đặt shopee,3,21.785931,-45.080246
gọi,1,30.362204,31.828117
hi,1,23.227051,61.054672
điện thoại 0982172323,5,-23.490692,31.516539
nàng sẵn,2,-28.270481,-8.091424
78/1 khánh hội p4 q4,4,-9.499088,-0.008012
bảng viết phấn,4,1.488191,15.425784
báo ja jup,2,-20.19879,-0.360963
bao nhiêu,0,66.700523,-4.198454
nhẹ,2,-49.581203,-15.535057
link shopee,3,4.43276,-54.530212
nè,1,14.451986,32.556549
freeship,5,-24.18932,57.196609
https //www facebook com/shopgauvabingo/pós/2349613635348961 __xts__ 0 =68 ảfs1imtaqqlwypattpagjkbpdphs-guksạhqlvfba-i9bd57srw2vgcctze6y2dgi3xy_od_x7riõmljô-cswt7c9s4x9nmrmfôguu77vvãjkxrlqpwpzfuen-hyvtqfblpvhl7xc7d0ebnwlg7pwgmr398bm1sh7r6nbftlv0s_rbmr5s68tọuuiqnui33èzip98sjfvz6l7típhfrzl0grcgyfi5pvpfctcb_k3ezm59e2o1n2sk11krìwrzó-991-wa-208m8tqivmdnmzhzptotwvwfuun_dyvđvzr9xd683e97d4bjẻukjlwnbwwv __tn__=-r,2,-19.781296,-2.841434
xám trắng,2,-22.277676,-12.531732
