sentence,kmeans_cluster,x,y
mua máy fatz uv shopee kèm khuyến mại 2 bình sữa shop,4,21.756395,11.258692
ship 1 nha,4,17.747276,-11.1399
ship hàng yên tổng bao nhiêu,4,31.232653000000003,-11.037725
phí vận 66k hả,4,14.303338,-17.828026
giá máy,4,27.419247,13.533639
bm check dum phí ship thu bao nhiêu nha,4,15.699294,-16.483662
giá máy,4,27.419247,13.533639
tầm mấy hả,4,17.175832999999997,-5.9976709999999995
shop ship 5h chiều,4,16.049381,-12.809149
shop ship giúp,4,20.948404,-14.905742000000002
máy xông bao nhiêu,4,32.340595,14.326077
giá 1t450,4,17.048882,27.526459000000003
lắp shop,4,7.860092999999999,23.894701
shop ship hôm,4,20.131641000000002,-14.259406
oki shop,4,8.728139,5.20464
tiện trùng,4,26.938963,4.073112999999999
miễn ship shop,4,15.722944,-14.256407999999999
đấy,4,9.352426,11.558632000000001
gọi hình máy,4,20.795820000000003,11.117962
shop sài gòn ha ban,4,13.515872,-11.550509
ship yên sở hoàng mai bao nhiêu,4,31.618528,-13.979655
shop ship,4,26.227396000000002,-14.938862
shop ship cod,4,16.536179999999998,-14.293054999999999
ship giao thủy nam định bao nhiêu,4,31.370081,-13.174598999999999
sẵn chiều,4,8.599167999999999,9.581202000000001
vinng mẫu shop,4,9.803458000000001,26.680534
oki shop,4,8.724487,5.20481
1450k shop,4,14.77069,0.746392
giới thiệu máy hút sữa medela pump cũ,4,18.835104,7.182189
oki shop tham khảo,4,2.602106,4.570745
đi tặng sn,4,14.621842000000001,15.461148000000001
chỉ holla,4,5.093864,8.861852
oki shop,4,8.724817999999999,5.204625
tầm mấy,4,16.877802,-6.12483
ship thuột đắk lắk bao nhiêu tiền,4,32.283192,-5.74895
shop lệ,4,13.111035000000001,1.6181940000000001
uh chỉ cửa chiều,4,3.9614089999999997,8.322583999999999
cửa chỉ chiều,4,4.501702,8.432422
hi shop,4,18.370041,22.49934
mấy hàng shop,4,-1.353426,0.409047
5in1 pin bao thay,4,7.197054,14.739576999999999
chỉnh,4,7.214042999999999,-3.284007
o tien giang bao nhiêu tiền ship,4,32.268314000000004,-6.789267
tặng kèm sữa,4,28.728052,8.581285000000001
giá máy tiệt trùng uv,4,31.989353,6.009613
ship ngựa xám,4,11.428783000000001,-14.051742
hi shop,4,18.365313,22.499439000000002
tiện trùng sấy khô hơi fatz,4,20.362768,7.097034
shop máy tiệt trùng sấy khô uv fatz baby bao nhiêu tiền,4,29.439597999999997,11.513888
gửi link ship cỡ bao nhiêu,4,27.82947,-9.066357
mua hộp trữ sữa size,4,19.886894,13.710579000000001
bot chỉ vẽ bảng,4,2.626728,7.764453
s inbox giá nhiệt kế,4,5.345051,18.465273
