sentence,kmeans_cluster,x,y
ok,2,33.84507,-0.498182
ok,2,33.770775,-1.302391
shop,1,-0.465529,-3.76755
ok,2,33.313526,-1.514242
shop,1,-2.429384,-2.920932
shop,1,-0.465529,-3.76755
ok,2,33.24086,-0.735087
ok,2,33.17065,-1.458848
ok,2,34.151218,-0.930225
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
ok shop,4,-30.224823,-16.123783
ok cảm ơn,0,-11.166667,46.446075
ok,2,34.151493,-0.929489
ok,2,33.845097,-0.498208
bao ship,3,-12.52669,-64.169144
màu hồng,4,-76.11174,-5.119026
ok,2,33.415878,-0.593032
muọn cảm ơn shop,0,2.131534,30.357819
cảm ơn shop shopee vận,0,-2.72305,24.663794
shop,1,-0.465529,-3.76755
ok,2,33.003147,-0.910733
ok,2,33.796982,-1.290177
ok,2,33.269493,-1.50846
ok,2,33.845081,-0.498199
ok,2,34.151066,-0.931547
ok,2,34.151566,-0.928616
ok,2,33.302158,-1.512382
ok,2,33.789932,-1.292878
ok,2,33.269432,-1.508431
nha shop,4,-34.673679,-5.046084
ok,2,34.151566,-0.928605
tiền mua hàng cám ơn,0,-12.610309,43.984127
shop,1,-0.465529,-3.76755
dja cảm ơn shop,0,2.132252,30.761116
ok,2,33.269638,-1.508486
cảm ơn nha,0,-22.569702,39.49678
cảm ơn tham khảo,0,-6.741624,42.998806
ok,2,33.772854,-1.300394
ok,2,33.796139,-1.29054
kích thước,0,-40.038349,32.501411
shop,1,-4.661442,0.174113
ship hoá bao nhiêu,3,-17.560652,-28.826118
ok shop,4,-33.359299,-16.456781
ok,2,34.151134,-0.930819
ok,2,33.220104,-1.488981
ok,2,33.799885,-1.289468
kích thước,0,-40.49292,31.334072
ok,2,33.845188,-0.498197
xe bé shop,4,-34.783455,-10.088042
cám ơn tham khảo inbox,0,-3.685712,23.343876
set,3,-0.55021,-35.702309
ok,2,34.151539,-0.928898
cám ơn đặt shopee lun,1,-22.133528,10.835887
tổng ship bao nhiêu,3,-18.725056,-33.023537
ok,2,33.796127,-1.290545
oh tiền ship bao nhiêu,0,-16.399809,38.691319
ship bao nhiêu,3,-10.334437,-67.004967
khoản bao nhiêu,3,-19.415627,-36.692898
ship tầm bao nhiêu,3,-19.614941,-38.00882
tiền ship bao nhiêu,3,-19.277939,-35.973454
kích thước,0,-39.75248,31.060123
ok,2,35.08173,-3.428155
ok cảm ơn chiêu tây sơn dubg,4,-34.666317,-6.049579
ok,2,35.08173,-3.428155
ok shop,4,-31.730455,-16.073683
ok shop,4,-33.359299,-16.456781
ship bao nhiêu,3,-10.334437,-67.004967
ok shop,4,-31.635622,-13.673635
shop,1,-0.465529,-3.76755
ship bao nhiêu,3,-10.513189,-67.252266
ok,2,32.40958,1.85235
gửi tiền giúp cảm ơn shop,0,2.421776,31.406273
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
khoản ship bao nhiêu,3,-19.615824,-38.017944
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
hị hị cảm ơn,0,-3.488738,23.974644
cảm ơn shop mua nhắn,0,-15.737998,40.375916
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok cảm ơn,0,-10.993237,46.607376
ok shop,4,-32.280998,-16.29475
ok cảm ơn,0,-10.956104,46.48698
chắn,4,-28.963568,-8.64533
ok shop,4,-31.757153,-16.120159
cảm ơn shô,0,-4.621457,42.768787
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
cám ơn ❤️,0,2.083898,28.631384
ok,2,35.08173,-3.428155
ok cám ơn,0,4.847115,30.77162
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok shop,4,-33.096088,-18.155357
shop,1,-0.465529,-3.76755
cảm ơn nha,0,-22.570644,39.495323
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
chắn,4,-28.963608,-8.64533
ship an dương vương bao nhiêu,0,1.387932,33.191906
ok,2,35.08173,-3.428155
ok cảm ơn nha,0,0.077003,27.682396
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
nha,4,-64.674484,-23.261417
ok,2,35.08173,-3.428155
cám ơn shop,0,-26.813208,40.985397
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,35.08173,-3.428155
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
ok,2,32.40958,1.85235
tiền,4,-46.16198,-38.989983
cảm ơn shop nha,0,-6.334663,44.184052
shop,1,-1.544461,3.183889
